,date,close_price,symbol
74,31-Mar-17,"1,446.05",ACC
322,31-Mar-16,"1,381.90",ACC
569,31-Mar-15,"1,562.75",ACC
812,31-Mar-14,"1,399.55",ACC
999,01-Jul-13,"1,220.05",ACC
1074,31-Mar-17,339.6,ADANIPORTS
1322,31-Mar-16,247.7,ADANIPORTS
1569,31-Mar-15,308.2,ADANIPORTS
1812,31-Mar-14,187.45,ADANIPORTS
1999,01-Jul-13,151.55,ADANIPORTS
2074,31-Mar-17,236.65,AMBUJACEM
2322,31-Mar-16,232.55,AMBUJACEM
2569,31-Mar-15,255.3,AMBUJACEM
2812,31-Mar-14,202.2,AMBUJACEM
2999,01-Jul-13,189.05,AMBUJACEM
3074,31-Mar-17,"1,073.50",ASIANPAINT
3322,31-Mar-16,868.4,ASIANPAINT
3569,31-Mar-15,811.3,ASIANPAINT
3812,31-Mar-14,547.95,ASIANPAINT
3999,01-Jul-13,"4,712.50",ASIANPAINT
4074,31-Mar-17,675.2,AUROPHARMA
4322,31-Mar-16,744.9,AUROPHARMA
4569,31-Mar-15,"1,221.60",AUROPHARMA
4812,31-Mar-14,511.5,AUROPHARMA
4999,01-Jul-13,186.9,AUROPHARMA
5074,31-Mar-17,490.8,AXISBANK
5322,31-Mar-16,444.15,AXISBANK
5569,31-Mar-15,560.2,AXISBANK
5812,31-Mar-14,"1,460.50",AXISBANK
5999,01-Jul-13,"1,348.80",AXISBANK
6074,31-Mar-17,"2,805.45",BAJAJ-AUTO
6322,31-Mar-16,"2,405.95",BAJAJ-AUTO
6569,31-Mar-15,"2,016.60",BAJAJ-AUTO
6812,31-Mar-14,"2,083.60",BAJAJ-AUTO
6999,01-Jul-13,"1,922.90",BAJAJ-AUTO
7074,31-Mar-17,172.95,BANKBARODA
7322,31-Mar-16,147,BANKBARODA
7569,31-Mar-15,163.5,BANKBARODA
7812,31-Mar-14,720.75,BANKBARODA
7999,01-Jul-13,590.9,BANKBARODA
8074,31-Mar-17,649.85,BPCL
8322,31-Mar-16,904.3,BPCL
8569,31-Mar-15,810.8,BPCL
8812,31-Mar-14,460.05,BPCL
8999,01-Jul-13,374.35,BPCL
9074,31-Mar-17,350.05,BHARTIARTL
9322,31-Mar-16,350.8,BHARTIARTL
9569,31-Mar-15,393.3,BHARTIARTL
9812,31-Mar-14,317.75,BHARTIARTL
9999,01-Jul-13,296.15,BHARTIARTL
10074,31-Mar-17,325.9,INFRATEL
10322,31-Mar-16,381.95,INFRATEL
10569,31-Mar-15,385,INFRATEL
10812,31-Mar-14,203.4,INFRATEL
10999,01-Jul-13,153.05,INFRATEL
11074,31-Mar-17,"22,751.25",BOSCHLTD
11322,31-Mar-16,"20,784.50",BOSCHLTD
11569,31-Mar-15,"25,421.35",BOSCHLTD
11812,31-Mar-14,"10,892.35",BOSCHLTD
11999,01-Jul-13,"8,915.15",BOSCHLTD
12074,31-Mar-17,592.95,CIPLA
12322,31-Mar-16,511.95,CIPLA
12569,31-Mar-15,712.45,CIPLA
12812,31-Mar-14,382.8,CIPLA
12999,01-Jul-13,397.75,CIPLA
13074,31-Mar-17,292.65,COALINDIA
13322,31-Mar-16,291.95,COALINDIA
13569,31-Mar-15,362.9,COALINDIA
13812,31-Mar-14,288.75,COALINDIA
13999,01-Jul-13,305,COALINDIA
14074,31-Mar-17,"2,632.35",DRREDDY
14322,31-Mar-16,"3,035.20",DRREDDY
14569,31-Mar-15,"3,488.75",DRREDDY
14812,31-Mar-14,"2,563.90",DRREDDY
14999,01-Jul-13,"2,263.80",DRREDDY
15074,31-Mar-17,"25,587.50",EICHERMOT
15322,31-Mar-16,"19,180.60",EICHERMOT
15569,31-Mar-15,"15,908.15",EICHERMOT
15812,31-Mar-14,"5,961.50",EICHERMOT
15999,01-Jul-13,"3,464.65",EICHERMOT
16074,31-Mar-17,376.95,GAIL
16322,31-Mar-16,356.4,GAIL
16569,31-Mar-15,387.8,GAIL
16812,31-Mar-14,376.05,GAIL
16999,01-Jul-13,324.9,GAIL
17074,31-Mar-17,874.75,HCLTECH
17322,31-Mar-16,814.1,HCLTECH
17569,31-Mar-15,980.4,HCLTECH
17812,31-Mar-14,"1,390.70",HCLTECH
17999,01-Jul-13,758.4,HCLTECH
18074,31-Mar-17,"1,442.55",HDFCBANK
18322,31-Mar-16,"1,071.15",HDFCBANK
18569,31-Mar-15,"1,022.70",HDFCBANK
18812,31-Mar-14,748.8,HDFCBANK
18999,01-Jul-13,668.75,HDFCBANK
19074,31-Mar-17,"3,221.95",HEROMOTOCO
19322,31-Mar-16,"2,945.70",HEROMOTOCO
19569,31-Mar-15,"2,639.80",HEROMOTOCO
19812,31-Mar-14,"2,274.80",HEROMOTOCO
19999,01-Jul-13,"1,698.60",HEROMOTOCO
20074,31-Mar-17,195.05,HINDALCO
20322,31-Mar-16,87.95,HINDALCO
20569,31-Mar-15,129,HINDALCO
20812,31-Mar-14,141.75,HINDALCO
20999,01-Jul-13,101.9,HINDALCO
21074,31-Mar-17,911.75,HINDUNILVR
21322,31-Mar-16,869.5,HINDUNILVR
21569,31-Mar-15,873.55,HINDUNILVR
21812,31-Mar-14,605.55,HINDUNILVR
21999,01-Jul-13,587.4,HINDUNILVR
22074,31-Mar-17,"1,502.10",HDFC
22322,31-Mar-16,"1,105.60",HDFC
22569,31-Mar-15,"1,315.70",HDFC
22812,31-Mar-14,883.9,HDFC
22999,01-Jul-13,889.65,HDFC
23074,31-Mar-17,280.3,ITC
23322,31-Mar-16,328.25,ITC
23569,31-Mar-15,325.85,ITC
23812,31-Mar-14,352.85,ITC
23999,01-Jul-13,325.95,ITC
24074,31-Mar-17,276.85,ICICIBANK
24322,31-Mar-16,236.65,ICICIBANK
24569,31-Mar-15,315.5,ICICIBANK
24812,31-Mar-14,"1,245.05",ICICIBANK
24999,01-Jul-13,"1,067.90",ICICIBANK
25074,31-Mar-17,997.75,IBULHSGFIN
25322,31-Mar-16,649.9,IBULHSGFIN
25569,31-Mar-15,557.9,IBULHSGFIN
25812,31-Mar-14,237.55,IBULHSGFIN
26048,31-Mar-17,387.05,IOC
26296,31-Mar-16,393.6,IOC
26543,31-Mar-15,368.65,IOC
26786,31-Mar-14,281.65,IOC
26973,01-Jul-13,236.6,IOC
27048,31-Mar-17,"1,425.15",INDUSINDBK
27296,31-Mar-16,967.6,INDUSINDBK
27543,31-Mar-15,886,INDUSINDBK
27786,31-Mar-14,501.85,INDUSINDBK
27973,01-Jul-13,471.95,INDUSINDBK
28048,31-Mar-17,"1,022.25",INFY
28296,31-Mar-16,"1,218.30",INFY
28543,31-Mar-15,"2,218.35",INFY
28786,31-Mar-14,"3,282.80",INFY
28973,01-Jul-13,"2,451.00",INFY
29048,31-Mar-17,872.2,KOTAKBANK
29296,31-Mar-16,680.65,KOTAKBANK
29543,31-Mar-15,"1,313.25",KOTAKBANK
29786,31-Mar-14,781.05,KOTAKBANK
29973,01-Jul-13,723.95,KOTAKBANK
30048,31-Mar-17,"1,574.90",LT
30296,31-Mar-16,"1,216.70",LT
30543,31-Mar-15,"1,719.65",LT
30786,31-Mar-14,"1,271.90",LT
30973,01-Jul-13,"1,451.65",LT
31048,31-Mar-17,"1,445.20",LUPIN
31296,31-Mar-16,"1,479.25",LUPIN
31543,31-Mar-15,"2,008.40",LUPIN
31786,31-Mar-14,933.15,LUPIN
31973,01-Jul-13,777.15,LUPIN
32048,31-Mar-17,"6,015.70",MARUTI
32296,31-Mar-16,"3,716.30",MARUTI
32543,31-Mar-15,"3,697.35",MARUTI
32786,31-Mar-14,"1,971.75",MARUTI
32973,01-Jul-13,"1,605.45",MARUTI
33048,31-Mar-17,166,NTPC
33296,31-Mar-16,128.85,NTPC
33543,31-Mar-15,146.85,NTPC
33786,31-Mar-14,119.9,NTPC
33973,01-Jul-13,148.15,NTPC
34048,31-Mar-17,185,ONGC
34296,31-Mar-16,214.1,ONGC
34543,31-Mar-15,306.35,ONGC
34786,31-Mar-14,318.7,ONGC
34973,01-Jul-13,328,ONGC
35048,31-Mar-17,197.3,POWERGRID
35296,31-Mar-16,139.1,POWERGRID
35543,31-Mar-15,145.25,POWERGRID
35786,31-Mar-14,105,POWERGRID
35973,01-Jul-13,112.9,POWERGRID
36048,31-Mar-17,"1,320.90",RELIANCE
36296,31-Mar-16,"1,045.20",RELIANCE
36543,31-Mar-15,826,RELIANCE
36786,31-Mar-14,930.75,RELIANCE
36973,01-Jul-13,885.7,RELIANCE
37048,31-Mar-17,293.4,SBIN
37296,31-Mar-16,194.25,SBIN
37543,31-Mar-15,267.05,SBIN
37786,31-Mar-14,"1,917.70",SBIN
37973,01-Jul-13,"2,015.60",SBIN
38048,31-Mar-17,688.15,SUNPHARMA
38296,31-Mar-16,820,SUNPHARMA
38543,31-Mar-15,"1,023.90",SUNPHARMA
38786,31-Mar-14,574.75,SUNPHARMA
38973,01-Jul-13,"1,005.00",SUNPHARMA
39048,31-Mar-17,"2,431.80",TCS
39296,31-Mar-16,"2,520.30",TCS
39543,31-Mar-15,"2,553.95",TCS
39786,31-Mar-14,"2,133.15",TCS
39973,01-Jul-13,"1,492.35",TCS
40048,31-Mar-17,282.15,TATAMTRDVR
40296,31-Mar-16,288.35,TATAMTRDVR
40543,31-Mar-15,331.55,TATAMTRDVR
40786,31-Mar-14,202.4,TATAMTRDVR
40973,01-Jul-13,143.05,TATAMTRDVR
41048,31-Mar-17,465.85,TATAMOTORS
41296,31-Mar-16,386.6,TATAMOTORS
41543,31-Mar-15,550.2,TATAMOTORS
41786,31-Mar-14,398.65,TATAMOTORS
41973,01-Jul-13,289.8,TATAMOTORS
42048,31-Mar-17,90.35,TATAPOWER
42296,31-Mar-16,64.65,TATAPOWER
42543,31-Mar-15,77.1,TATAPOWER
42786,31-Mar-14,85.15,TATAPOWER
42973,01-Jul-13,88.65,TATAPOWER
43048,31-Mar-17,482.7,TATASTEEL
43296,31-Mar-16,319.7,TATASTEEL
43543,31-Mar-15,316.75,TATASTEEL
43786,31-Mar-14,393.95,TATASTEEL
43973,01-Jul-13,280.7,TATASTEEL
44048,31-Mar-17,459.15,TECHM
44296,31-Mar-16,474.95,TECHM
44543,31-Mar-15,629.7,TECHM
44786,31-Mar-14,"1,795.35",TECHM
44973,01-Jul-13,"1,034.45",TECHM
45048,31-Mar-17,"3,984.75",ULTRACEMCO
45296,31-Mar-16,"3,228.75",ULTRACEMCO
45543,31-Mar-15,"2,877.90",ULTRACEMCO
45786,31-Mar-14,"2,186.95",ULTRACEMCO
45973,01-Jul-13,"1,932.30",ULTRACEMCO
46048,31-Mar-17,274.95,VEDL
46296,31-Mar-16,89.85,VEDL
46595,31-Mar-17,515.7,WIPRO
46843,31-Mar-16,564.25,WIPRO
47090,31-Mar-15,628.85,WIPRO
47333,31-Mar-14,543.2,WIPRO
47520,01-Jul-13,351.25,WIPRO
47595,31-Mar-17,"1,546.75",YESBANK
47843,31-Mar-16,865.05,YESBANK
48090,31-Mar-15,815.75,YESBANK
48333,31-Mar-14,413.95,YESBANK
48520,01-Jul-13,470.15,YESBANK
48595,31-Mar-17,535.55,ZEEL
48843,31-Mar-16,386.95,ZEEL
49090,31-Mar-15,341.75,ZEEL
49333,31-Mar-14,271.35,ZEEL
49520,01-Jul-13,247.6,ZEEL
