,Unnamed: 0,date,stock_ticker,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Tax,Net Profit,Earnings Per Share,Equity,stock_price,nifty_price,stock_price_90d,nifty_price_90d,stock_pc_change,nifty_pc_change,status,Industry
145,145,2016-10-01,HEROMOTOCO,77962.8,1523.6,79486.4,64274.1,15212.3,15196.8,15.5,15181.3,3962.1,10042.2,50.29,399.4,3521.15,8738.099609,3043.65,8185.799805,-13.560910497990713,-6.320594050348745,Underperform,AUTOMOBILE
146,146,2016-07-01,HEROMOTOCO,73989.1,1203.8,75192.9,61688.3,13504.6,13489.6,15.0,13474.6,3506.2,8831.0,44.22,399.4,3186.05,8328.349609,3428.25,8591.25,7.601889486982308,3.1566925422522716,Outperform,AUTOMOBILE
147,147,2017-04-01,BOSCHLTD,27802.0,1310.4,29112.4,20764.9,8347.5,8115.3,232.2,7883.1,2218.9,4404.7,144.3,305.2,22635.75,9237.849609,23327.25,9520.900391,3.054902090719327,3.0640332326284616,Underperform,AUTOMOBILE
148,148,2017-01-01,BOSCHLTD,26719.6,1634.3,28353.9,24052.5,4301.4,4284.5,16.9,4267.6,843.1,2181.9,70.7,305.2,21096.1,8179.5,22635.75,9237.849609,7.298268400320445,12.939050174216039,Underperform,AUTOMOBILE
149,149,2016-10-01,BOSCHLTD,26115.4,2107.1,28222.5,21421.7,6800.8,6791.1,9.7,6781.4,1672.7,7037.4,224.1,314.0,22752.95,8738.099609,21049.95,8185.799805,-7.484743736526473,-6.320594050348745,Underperform,AUTOMOBILE
150,150,2016-07-01,BOSCHLTD,25195.5,1788.8,26984.3,20684.5,6299.8,6287.1,12.7,6274.4,1678.7,3787.2,120.6,314.0,22684.3,8328.349609,22634.2,8591.25,-0.2208575975454325,3.1566925422522716,Underperform,AUTOMOBILE
151,151,2016-04-01,BOSCHLTD,27145.3,1017.4,28162.7,21310.8,6851.9,6851.9,0.0,6851.9,1852.8,3760.4,119.7,314.0,19888.55,7713.049805,22648.75,8287.75,13.878337033117047,7.451011072526069,Outperform,AUTOMOBILE
152,152,2017-07-01,INFRATEL,15934.0,10149.0,26083.0,8118.0,17965.0,18979.0,-1014.0,19993.0,2046.0,13983.0,7.56,18496.0,397.75,9615.0,,,,,,TELECOM
153,153,2017-04-01,INFRATEL,16053.0,190.0,16243.0,8357.0,7886.0,8117.0,-231.0,8348.0,1901.0,3249.0,1.76,18496.0,329.55,9237.849609,374.55,9520.900391,13.654984069185252,3.0640332326284616,Outperform,TELECOM
154,154,2017-01-01,INFRATEL,15300.0,1661.0,16961.0,8244.0,8717.0,8717.0,0.0,8717.0,2104.0,3679.0,1.99,18496.0,344.2,8179.5,329.55,9237.849609,-4.256246368390464,12.939050174216039,Underperform,TELECOM
155,155,2016-10-01,INFRATEL,14963.0,3249.0,18212.0,8073.0,10139.0,10139.0,0.0,10139.0,1909.0,5353.0,2.86,18496.0,362.75,8738.099609,343.45,8185.799805,-5.320468642315648,-6.320594050348745,Outperform,TELECOM
156,156,2017-04-01,GAIL,136741.0,4677.1,141418.0,121188.0,20230.5,12130.5,219.6,11910.9,6057.7,2601.6,1.54,16913.0,384.75,9237.849609,361.45,9520.900391,-6.055880441845358,3.0640332326284616,Underperform,ENERGY
157,157,2017-01-01,GAIL,121324.0,2756.0,124080.0,104064.0,20016.6,18415.3,1601.3,16814.0,5007.0,9829.2,7.75,12684.8,435.15,8179.5,384.75,9237.849609,-11.582213029989655,12.939050174216039,Underperform,ENERGY
158,158,2016-10-01,GAIL,118774.0,3168.7,121942.0,103426.0,18516.1,17317.8,1198.3,16119.5,4508.2,9246.5,7.29,12684.8,385.85,8738.099609,439.2,8185.799805,13.826616560839696,-6.320594050348745,Outperform,ENERGY
159,159,2016-07-01,GAIL,107067.0,6054.0,113121.0,91134.3,21986.8,20212.4,1774.4,18438.0,3506.2,13351.8,10.53,12684.8,395.35,8328.349609,363.45,8591.25,-8.068799797647662,3.1566925422522716,Underperform,ENERGY
160,160,2016-04-01,GAIL,117324.0,2204.6,119528.0,105087.0,14441.5,12895.3,1546.2,11349.1,1698.8,7699.9,6.07,12684.8,347.7,7713.049805,385.15,8287.75,10.770779407535233,7.451011072526069,Outperform,ENERGY
161,161,2017-04-01,TATASTEEL,171131.0,465.1,171596.0,127522.0,44074.7,33124.9,6529.2,26595.7,8400.4,14149.6,14.12,9714.1,485.85,9237.849609,545.75,9520.900391,12.32890809920757,3.0640332326284616,Outperform,METALS
162,162,2017-01-01,TATASTEEL,126318.0,978.0,127296.0,92529.9,34766.6,26653.8,7697.2,18956.6,5913.4,12046.0,12.1,9714.1,406.75,8179.5,485.85,9237.849609,19.446834665027662,12.939050174216039,Outperform,METALS
163,163,2016-10-01,TATASTEEL,106018.0,1646.5,107664.0,86870.0,20794.2,12784.1,7367.2,5416.9,1172.0,2495.6,1.97,9714.1,382.85,8738.099609,391.25,8185.799805,2.194070784902697,-6.320594050348745,Outperform,METALS
164,164,2016-07-01,TATASTEEL,91204.8,1055.0,92259.8,68991.2,23268.6,16422.0,5291.9,11130.1,3638.0,5754.3,5.63,9714.1,328.1,8328.349609,368.8,8591.25,12.404754647973174,3.1566925422522716,Outperform,METALS
165,165,2016-04-01,TATASTEEL,105217.0,1263.1,106480.0,83582.9,22896.9,15795.5,3829.3,11966.2,4100.4,6766.0,6.52,9714.1,317.75,7713.049805,321.95,8287.75,1.3217938630999178,7.451011072526069,Underperform,METALS
166,166,2017-07-01,AMBUJACEM,32602.2,559.9,33162.1,26092.0,7070.1,6905.1,165.0,6740.1,1543.9,3922.3,1.98,3971.3,247.45,9615.0,,,,,,CEMENT & CEMENT PRODUCTS
167,167,2017-04-01,AMBUJACEM,29224.0,1019.4,30243.4,25283.1,4960.3,4583.3,377.0,4206.3,658.1,2465.4,1.24,3971.3,237.55,9237.849609,246.55,9520.900391,3.788676068196169,3.0640332326284616,Outperform,CEMENT & CEMENT PRODUCTS
168,168,2017-01-01,AMBUJACEM,22310.3,410.8,22721.1,19019.5,3701.6,3565.3,136.3,3429.0,243.9,1758.8,0.89,3971.3,214.6,8179.5,237.55,9237.849609,10.69431500465984,12.939050174216039,Underperform,CEMENT & CEMENT PRODUCTS
169,169,2016-10-01,AMBUJACEM,20314.4,2231.8,22546.2,17282.8,5263.4,5071.9,191.5,4880.4,706.8,2770.2,1.4,3971.3,258.9,8738.099609,206.3,8185.799805,-20.316724604094233,-6.320594050348745,Underperform,CEMENT & CEMENT PRODUCTS
170,170,2017-07-01,ZEEL,13025.7,3823.0,16848.7,8403.1,8445.6,8302.6,143.0,8159.6,2326.5,5765.2,6.0,960.4,490.5,9615.0,,,,,,MEDIA & ENTERTAINMENT
171,171,2017-04-01,ZEEL,11989.0,691.4,12680.4,7582.8,5097.6,4490.9,1076.9,3414.0,1660.9,2620.7,2.73,960.4,528.55,9237.849609,491.35,9520.900391,-7.038123167155414,3.0640332326284616,Underperform,MEDIA & ENTERTAINMENT
172,172,2017-01-01,ZEEL,12758.5,-164.9,12593.6,7726.3,4867.3,4805.0,62.3,4742.7,1874.2,2738.9,2.85,960.4,451.6,8179.5,528.55,9237.849609,17.039415411868895,12.939050174216039,Outperform,MEDIA & ENTERTAINMENT
173,173,2016-10-01,ZEEL,12750.8,848.2,13599.0,8514.8,5084.2,5021.8,62.4,4959.4,1558.0,3277.4,3.41,960.4,578.85,8738.099609,453.05,8185.799805,-21.73274596182085,-6.320594050348745,Underperform,MEDIA & ENTERTAINMENT
174,174,2017-07-01,IBULHSGFIN,27892.8,2606.39,30499.2,3362.84,27136.4,9953.75,17182.7,-7228.95,2550.63,7340.54,17.31,848.7,1075.3,9615.0,,,,,,FINANCIAL SERVICES
175,175,2017-04-01,IBULHSGFIN,28124.8,2886.79,31011.6,4340.52,26671.1,9563.59,17107.5,-7543.91,1289.16,8217.03,19.39,847.71,995.9,9237.849609,1076.15,9520.900391,8.058037955618046,3.0640332326284616,Outperform,FINANCIAL SERVICES
176,176,2017-01-01,IBULHSGFIN,25146.9,4131.59,29278.5,2983.46,26295.0,10185.9,16109.1,-5923.2,2602.21,7530.97,17.8,847.5,678.65,8179.5,995.9,9237.849609,46.74721874309291,12.939050174216039,Outperform,FINANCIAL SERVICES
177,177,2016-10-01,IBULHSGFIN,23969.9,3633.7,27603.6,2946.17,24657.5,8583.85,16073.6,-7489.75,2123.26,6411.07,15.2,843.79,855.25,8738.099609,650.25,8185.799805,-23.9695995323005,-6.320594050348745,Underperform,FINANCIAL SERVICES
178,178,2017-04-01,HINDALCO,117471.0,2225.7,119697.0,103998.0,15698.1,10286.8,5411.3,4875.5,1456.8,5025.2,2.4,2227.2,193.6,9237.849609,190.95,9520.900391,-1.3688016528925648,3.0640332326284616,Underperform,METALS
179,179,2017-01-01,HINDALCO,93135.6,2199.7,95335.3,81283.4,14051.9,8172.9,5879.0,2293.9,1389.5,3205.6,1.56,2050.1,158.85,8179.5,193.6,9237.849609,21.87598363235757,12.939050174216039,Outperform,METALS
180,180,2016-10-01,HINDALCO,90122.8,3363.9,93486.7,78559.0,14927.7,9833.9,5942.7,3891.2,1928.5,4397.4,2.14,2049.1,154.1,8738.099609,155.05,8185.799805,0.6164828033744433,-6.320594050348745,Outperform,METALS
181,181,2016-07-01,HINDALCO,75973.4,2184.2,78157.6,64648.4,13509.2,7513.5,5995.7,1517.8,1188.7,2942.7,1.44,2048.9,124.75,8328.349609,150.0,8591.25,20.240480961923847,3.1566925422522716,Outperform,METALS
182,182,2016-04-01,HINDALCO,86675.2,2041.4,88716.6,75010.9,13705.7,7958.8,5746.9,2211.9,983.2,3563.3,1.73,2065.2,86.65,7713.049805,122.85,8287.75,41.777264858626644,7.451011072526069,Outperform,METALS
183,183,2017-04-01,LUPIN,29264.2,392.9,29657.1,22573.1,7084.0,7006.0,78.0,6928.0,465.8,5490.5,12.16,903.2,1434.6,9237.849609,1059.85,9520.900391,-26.122264045727032,3.0640332326284616,Underperform,PHARMA
184,184,2017-01-01,LUPIN,32955.2,896.1,33851.3,20611.0,13240.3,13151.9,88.4,13063.5,3631.8,8594.7,19.06,902.9,1505.75,8179.5,1434.6,9237.849609,-4.725219990038194,12.939050174216039,Underperform,PHARMA
185,185,2016-10-01,LUPIN,29512.8,189.5,29702.3,20473.5,9228.9,9219.5,9.4,9210.1,1824.6,6530.8,14.49,902.3,1493.55,8738.099609,1486.95,8185.799805,-0.4419001707341508,-6.320594050348745,Outperform,PHARMA
186,186,2016-07-01,LUPIN,35516.9,749.0,36265.9,20150.2,16115.7,16074.3,41.4,16032.9,4455.1,10797.3,23.96,901.8,1552.85,8328.349609,1468.3,8591.25,-5.444827253115236,3.1566925422522716,Underperform,PHARMA
187,187,2016-04-01,LUPIN,32685.1,265.2,32950.3,19122.0,13828.3,13723.9,104.4,13619.5,3676.0,9249.3,20.54,901.2,1464.85,7713.049805,1539.7,8287.75,5.109738198450363,7.451011072526069,Underperform,PHARMA
188,188,2017-04-01,CIPLA,26951.7,305.7,27257.4,25124.2,2133.2,2093.0,40.2,2052.8,582.7,258.6,0.32,1609.0,592.65,9237.849609,555.6,9520.900391,-6.2515818780055605,3.0640332326284616,Underperform,PHARMA
189,189,2017-01-01,CIPLA,26750.0,446.8,27196.8,21430.2,5766.6,5613.5,153.1,5460.4,852.1,3412.3,4.25,1608.8,566.0,8179.5,592.65,9237.849609,4.708480565371022,12.939050174216039,Underperform,PHARMA
190,190,2016-10-01,CIPLA,28139.9,327.7,28467.6,23621.9,4845.7,4777.7,68.0,4709.7,195.9,3292.4,4.1,1608.4,588.85,8738.099609,568.8,8185.799805,-3.4049418357816204,-6.320594050348745,Outperform,PHARMA
191,191,2016-07-01,CIPLA,27412.4,311.9,27724.3,23208.2,4516.1,4386.9,129.2,4257.7,489.8,2787.5,3.47,1607.2,508.6,8328.349609,602.85,8591.25,18.531262288635467,3.1566925422522716,Outperform,PHARMA
192,192,2016-04-01,CIPLA,27408.9,517.5,27926.4,26360.8,1565.6,1306.1,259.5,1046.6,-187.5,346.2,0.43,1606.8,514.55,7713.049805,501.0,8287.75,-2.6333689631716948,7.451011072526069,Underperform,PHARMA
193,193,2017-04-01,AUROPHARMA,24200.9,512.2,24713.1,18401.0,6312.1,6221.5,90.6,6130.9,933.1,4554.6,7.78,585.9,682.95,9237.849609,684.6,9520.900391,0.2415989457500516,3.0640332326284616,Underperform,PHARMA
194,194,2017-01-01,AUROPHARMA,25213.7,291.0,25504.7,18869.9,6634.8,6532.8,102.0,6430.8,1411.2,4410.2,7.53,585.2,675.5,8179.5,682.95,9237.849609,1.1028867505551507,12.939050174216039,Underperform,PHARMA
195,195,2016-10-01,AUROPHARMA,24101.6,347.2,24448.8,18170.7,6278.1,6158.8,119.3,6039.5,1253.9,4192.4,7.16,585.2,870.0,8738.099609,669.3,8185.799805,-23.06896551724139,-6.320594050348745,Underperform,PHARMA
196,196,2016-07-01,AUROPHARMA,23897.6,209.0,24106.6,18232.7,5873.9,5734.2,139.7,5594.5,1119.9,3910.3,6.68,585.2,746.25,8328.349609,825.25,8591.25,10.586264656616414,3.1566925422522716,Outperform,PHARMA
197,197,2016-04-01,AUROPHARMA,24058.5,139.9,24198.4,17971.7,6226.7,6065.1,161.6,5903.5,1315.5,4078.5,6.97,585.2,729.9,7713.049805,742.5,8287.75,1.7262638717632586,7.451011072526069,Underperform,PHARMA
198,198,2017-07-01,TECHM,57535.4,3954.7,61490.1,49772.1,11718.0,11545.8,172.2,11373.6,2113.4,7953.8,8.17,4875.1,381.25,9615.0,,,,,,IT
199,199,2017-04-01,TECHM,59235.8,1585.7,60821.5,51214.8,9606.7,9487.2,119.5,9367.7,1853.4,5857.4,6.03,4867.7,453.1,9237.849609,382.0,9520.900391,-15.69190024277202,3.0640332326284616,Underperform,IT
200,200,2017-01-01,TECHM,59128.6,1783.4,60912.0,48913.6,11998.4,11796.4,202.0,11594.4,1730.9,8518.9,8.78,4862.6,488.0,8179.5,453.1,9237.849609,-7.151639344262291,12.939050174216039,Underperform,IT
201,201,2016-10-01,TECHM,56821.9,3810.2,60632.1,47657.4,12974.7,12804.6,170.1,12634.5,2604.4,8722.1,8.99,4856.8,420.7,8738.099609,488.9,8185.799805,16.211076776800567,-6.320594050348745,Outperform,IT
202,202,2016-07-01,TECHM,56467.6,1750.1,58217.7,47150.3,11067.4,10921.1,146.3,10774.8,2125.3,7374.8,7.61,4852.6,511.4,8328.349609,427.15,8591.25,-16.47438404380133,3.1566925422522716,Underperform,IT
203,203,2017-07-01,DRREDDY,20897.0,488.0,21385.0,19413.0,1972.0,1808.0,164.0,1644.0,-29.0,-73.0,-0.44,829.0,2682.55,9615.0,,,,,,PHARMA
204,204,2017-04-01,BANKBARODA,108752.0,19772.8,128524.0,25389.7,30201.7,0.0,72933.0,-72933.0,2424.8,1547.2,0.67,4620.9,172.4,9237.849609,161.65,9520.900391,-6.235498839907192,3.0640332326284616,Underperform,FINANCIAL SERVICES
205,205,2017-01-01,BANKBARODA,104061.0,17749.6,121810.0,23141.1,25952.1,5157.1,72717.2,-67560.1,2630.4,2526.7,1.1,4620.9,148.9,8179.5,172.4,9237.849609,15.782404298186705,12.939050174216039,Outperform,FINANCIAL SERVICES
206,206,2016-10-01,BANKBARODA,104852.0,15614.3,120466.0,22973.3,26902.0,8943.6,70590.7,-61647.1,3422.4,5521.2,2.39,4620.9,168.9,8738.099609,153.4,8185.799805,-9.177027827116637,-6.320594050348745,Underperform,FINANCIAL SERVICES
207,207,2016-07-01,BANKBARODA,104335.0,14443.9,118779.0,21459.9,26694.9,6654.2,70624.3,-63970.1,2418.0,4236.2,1.84,4620.9,156.6,8328.349609,161.9,8591.25,3.3844189016602884,3.1566925422522716,Outperform,FINANCIAL SERVICES
208,208,2016-04-01,BANKBARODA,110144.0,17746.8,127891.0,25326.3,25724.6,0.0,76839.7,-76839.7,-10550.6,-32301.4,-14.02,4620.9,152.8,7713.049805,153.95,8287.75,0.7526178010471055,7.451011072526069,Underperform,FINANCIAL SERVICES
209,209,2017-07-01,ACC,39585.7,259.6,39845.3,33231.4,6613.9,6388.9,225.0,6163.9,1550.3,3217.5,17.13,1879.9,1587.6,9615.0,,,,,,CEMENT & CEMENT PRODUCTS
210,210,2017-04-01,ACC,36310.5,357.2,36667.7,32149.1,4518.6,4266.9,251.7,4015.2,501.7,2115.0,11.26,1879.9,1461.95,9237.849609,1568.05,9520.900391,7.257430144669784,3.0640332326284616,Outperform,CEMENT & CEMENT PRODUCTS
211,211,2017-01-01,ACC,27313.2,167.9,27481.1,24771.0,2710.1,2097.2,184.8,1912.4,-64.1,482.8,2.57,1879.9,1351.9,8179.5,1461.95,9237.849609,8.140394999630146,12.939050174216039,Underperform,CEMENT & CEMENT PRODUCTS
212,212,2016-10-01,ACC,25191.9,257.7,25449.6,22458.2,2991.4,2794.4,197.0,2597.4,424.0,841.0,4.48,1879.9,1631.95,8738.099609,1331.05,8185.799805,-18.438064891693987,-6.320594050348745,Underperform,CEMENT & CEMENT PRODUCTS
213,213,2016-07-01,ACC,29172.3,212.3,29384.6,24606.6,4778.0,4594.7,183.3,4411.4,806.4,2378.3,12.67,1879.9,1617.4,8328.349609,1588.4,8591.25,-1.7930011128972425,3.1566925422522716,Underperform,CEMENT & CEMENT PRODUCTS
214,214,2017-04-01,TATAPOWER,18904.9,1551.6,20456.5,14290.4,6166.1,-3372.5,3624.1,-6996.6,961.9,-5934.2,-2.3,2705.0,89.2,9237.849609,80.55,9520.900391,-9.697309417040364,3.0640332326284616,Underperform,ENERGY
215,215,2017-01-01,TATAPOWER,17333.8,1948.5,19282.3,13027.2,6255.1,3277.0,3488.1,-211.1,-1162.4,2826.2,0.94,2705.0,75.4,8179.5,89.2,9237.849609,18.302387267904503,12.939050174216039,Outperform,ENERGY
216,216,2016-10-01,TATAPOWER,17203.7,4929.4,22133.1,11857.7,10275.4,7803.3,3202.1,4601.2,1751.2,4473.4,1.55,2704.8,76.45,8738.099609,75.9,8185.799805,-0.7194244604316509,-6.320594050348745,Outperform,ENERGY
217,217,2016-07-01,TATAPOWER,18738.2,1255.4,19993.6,12455.5,7538.1,3695.6,2642.5,1053.1,676.1,1469.1,0.44,2704.8,74.35,8328.349609,73.65,8591.25,-0.9414929388029436,3.1566925422522716,Underperform,ENERGY
218,218,2016-04-01,TATAPOWER,20420.4,1258.5,21678.9,14295.8,7383.1,2320.3,2818.0,-497.7,110.4,517.2,0.05,2704.8,65.2,7713.049805,73.35,8287.75,12.499999999999984,7.451011072526069,Outperform,ENERGY
